"","region","province"
"1","Adja", "Ituri"
"2","Ariwara", "Ituri"
"3","Aru", "Ituri"
"4","Aungba", "Ituri"
"5","Bambu", "Ituri"
"6","Beni", "Nord-Kivu"
"7","Boga", "Ituri"
"8","Boma Mangbetu", "Haut-Uele"
"9","Bunia", "Ituri"
"10","Butembo", "Nord-Kivu"
"11","Damas", "Ituri"
"12","Drodro", "Ituri"
"13","Fataki", "Ituri"
"14","Gethy", "Ituri"
"15","Gety"
"16","Goma", "Nord-Kivu"
"17","Isiro", "Haut-Uele"
"18","Jiba"
"19","Kabondo", "Tshopo"
"20","Kalunguta", "Nord-Kivu"
"21","Kambala", "Ituri"
"22","Karisimbi"
"23","Katwa", "Nord-Kivu"
"24","Kilo", "Ituri"
"25","Komanda", "Ituri"
"26","Kyondo", "Nord-Kivu"
"27","Lita", "Ituri"
"28","Logo", "Ituri"
"29","Lolwa", "Ituri"
"30","Lubero", "Ituri"
"31","Lubunga", "Nord-Kivu"
"32","Lubunga (Tshopo)", "Tshopo"
"33","Mabalako", "Nord-Kivu"
"34","Mahagi", "Ituri"
"35","Makiso Kisangani"
"36","Makiso-Kisangani", "Tshopo"
"37","Mambasa", "Ituri"
"38","Mandima", "Ituri"
"39","Mangala", "Ituri"
"40","Mangobo", "Tshopo"
"41","Manguredjipa"
"42","Masereka", "Nord-Kivu"
"43","Miti Murhesa", "Sud-Kivu"
"44","Miti-Murhesa", "Sud-Kivu"
"45","Mongbwalu", "Ituri"
"46","Musienene", "Nord-Kivu"
"47","Nia Nia", "Ituri"
"48","Nia-Nia", "Ituri"
"49","Nizi", "Ituri"
"50","Nyankunde", "Ituri"
"51","Oicha", "Nord-Kivu"
"52","Pawa", "Haut-Uele"
"53","Rimba", "Ituri"
"54","Rumba"
"55","Rungu", "Haut-Uele"
"56","Rwampara", "Ituri"
"57","Tchomia", "Ituri"
"58","Vuhovi", "Nord-Kivu"
"59","Wamba", "Haut-Uele"
"60","Wanierukula", "Tshopo"
"61",NA
